severity,reason,source_doc,source_pdf,reference_page,office,funding_year,label,expected,detail,exception_key
warning,banner_check_discrepancy,119sdoc3,GPO-CDOC-119sdoc3-1.pdf,23,PRESIDENT PRO TEMPORE (D),2024,BANNER ORGANIZATION TOTALS,2789.68,status=warn; banner=2789.68; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,119sdoc3|banner_check_discrepancy|23|PRESIDENT PRO TEMPORE (D)|2024|BANNER ORGANIZATION TOTALS|2789.68
warning,banner_check_discrepancy,119sdoc3,GPO-CDOC-119sdoc3-1.pdf,24,PRESIDENT PRO TEMPORE (D),2025,BANNER ORGANIZATION TOTALS,10223.92,status=warn; banner=10223.92; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,119sdoc3|banner_check_discrepancy|24|PRESIDENT PRO TEMPORE (D)|2025|BANNER ORGANIZATION TOTALS|10223.92
warning,banner_check_discrepancy,119sdoc3,GPO-CDOC-119sdoc3-1.pdf,25,PRES PRO TEM EMERITUS (D),2025,BANNER ORGANIZATION TOTALS,10130.97,status=warn; banner=10130.97; parsed_body=69.89. Banner checks are advisory; review against the source before treating this as a parser defect.,119sdoc3|banner_check_discrepancy|25|PRES PRO TEM EMERITUS (D)|2025|BANNER ORGANIZATION TOTALS|10130.97
warning,banner_check_discrepancy,119sdoc3,GPO-CDOC-119sdoc3-1.pdf,28,MINORITY LEADER (D),2025,BANNER ORGANIZATION TOTALS,11191.98,status=warn; banner=11191.98; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,119sdoc3|banner_check_discrepancy|28|MINORITY LEADER (D)|2025|BANNER ORGANIZATION TOTALS|11191.98
warning,banner_check_discrepancy,119sdoc3,GPO-CDOC-119sdoc3-1.pdf,30,MAJORITY WHIP (D),2024,BANNER ORGANIZATION TOTALS,4419.57,status=warn; banner=4419.57; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,119sdoc3|banner_check_discrepancy|30|MAJORITY WHIP (D)|2024|BANNER ORGANIZATION TOTALS|4419.57
warning,banner_check_discrepancy,119sdoc3,GPO-CDOC-119sdoc3-1.pdf,31,MINORITY WHIP (D),2025,BANNER ORGANIZATION TOTALS,2100.7,status=warn; banner=2100.7; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,119sdoc3|banner_check_discrepancy|31|MINORITY WHIP (D)|2025|BANNER ORGANIZATION TOTALS|2100.7
warning,banner_check_discrepancy,119sdoc3,GPO-CDOC-119sdoc3-1.pdf,44,MINORITY LEADER (R),2024,BANNER ORGANIZATION TOTALS,2317.34,status=warn; banner=2317.34; parsed_body=174.92. Banner checks are advisory; review against the source before treating this as a parser defect.,119sdoc3|banner_check_discrepancy|44|MINORITY LEADER (R)|2024|BANNER ORGANIZATION TOTALS|2317.34
warning,banner_check_discrepancy,119sdoc3,GPO-CDOC-119sdoc3-1.pdf,45,MAJORITY LEADER (R),2025,BANNER ORGANIZATION TOTALS,11678.28,status=warn; banner=11678.28; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,119sdoc3|banner_check_discrepancy|45|MAJORITY LEADER (R)|2025|BANNER ORGANIZATION TOTALS|11678.28
warning,banner_check_discrepancy,119sdoc3,GPO-CDOC-119sdoc3-1.pdf,48,MAJORITY WHIP (R),2025,BANNER ORGANIZATION TOTALS,2979.0,status=warn; banner=2979.0; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,119sdoc3|banner_check_discrepancy|48|MAJORITY WHIP (R)|2025|BANNER ORGANIZATION TOTALS|2979.0
warning,banner_check_discrepancy,119sdoc3,GPO-CDOC-119sdoc3-1.pdf,50,CHAIRMAN MINORITY CONFERENCE COMMITTEE (R),2024,BANNER ORGANIZATION TOTALS,160.14,status=warn; banner=160.14; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,119sdoc3|banner_check_discrepancy|50|CHAIRMAN MINORITY CONFERENCE COMMITTEE (R)|2024|BANNER ORGANIZATION TOTALS|160.14
warning,banner_check_discrepancy,119sdoc3,GPO-CDOC-119sdoc3-1.pdf,51,CHAIRMAN MAJORITY CONFERENCE COMMITTEE (R),2025,BANNER ORGANIZATION TOTALS,1060.0,status=warn; banner=1060.0; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,119sdoc3|banner_check_discrepancy|51|CHAIRMAN MAJORITY CONFERENCE COMMITTEE (R)|2025|BANNER ORGANIZATION TOTALS|1060.0
warning,banner_check_discrepancy,119sdoc3,GPO-CDOC-119sdoc3-1.pdf,53,CHAIRMAN MINORITY POLICY COMMITTEE (R),2024,BANNER ORGANIZATION TOTALS,610.0,status=warn; banner=610.0; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,119sdoc3|banner_check_discrepancy|53|CHAIRMAN MINORITY POLICY COMMITTEE (R)|2024|BANNER ORGANIZATION TOTALS|610.0
warning,banner_check_discrepancy,119sdoc3,GPO-CDOC-119sdoc3-1.pdf,54,CHAIRMAN MAJORITY POLICY COMMITTEE (R),2025,BANNER ORGANIZATION TOTALS,3188.96,status=warn; banner=3188.96; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,119sdoc3|banner_check_discrepancy|54|CHAIRMAN MAJORITY POLICY COMMITTEE (R)|2025|BANNER ORGANIZATION TOTALS|3188.96
warning,banner_check_missing,119sdoc3,GPO-CDOC-119sdoc3-1.pdf,61,APPROPRIATIONS,2023,BANNER NET PAYROLL,0.0,status=banner_missing; banner=0.0; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,119sdoc3|banner_check_missing|61|APPROPRIATIONS|2023|BANNER NET PAYROLL|0.0
warning,banner_check_missing,119sdoc3,GPO-CDOC-119sdoc3-1.pdf,62,APPROPRIATIONS,2024,BANNER NET PAYROLL,0.0,status=banner_missing; banner=0.0; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,119sdoc3|banner_check_missing|62|APPROPRIATIONS|2024|BANNER NET PAYROLL|0.0
warning,banner_check_missing,119sdoc3,GPO-CDOC-119sdoc3-1.pdf,66,CHAPLAIN,2021,BANNER NET PAYROLL,0.0,status=banner_missing; banner=0.0; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,119sdoc3|banner_check_missing|66|CHAPLAIN|2021|BANNER NET PAYROLL|0.0
warning,banner_check_missing,119sdoc3,GPO-CDOC-119sdoc3-1.pdf,67,CHAPLAIN,2022,BANNER NET PAYROLL,0.0,status=banner_missing; banner=0.0; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,119sdoc3|banner_check_missing|67|CHAPLAIN|2022|BANNER NET PAYROLL|0.0
warning,banner_check_missing,119sdoc3,GPO-CDOC-119sdoc3-1.pdf,68,CHAPLAIN,2023,BANNER NET PAYROLL,0.0,status=banner_missing; banner=0.0; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,119sdoc3|banner_check_missing|68|CHAPLAIN|2023|BANNER NET PAYROLL|0.0
warning,banner_check_missing,119sdoc3,GPO-CDOC-119sdoc3-1.pdf,69,CHAPLAIN,2023,BANNER NET PAYROLL,0.0,status=banner_missing; banner=0.0; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,119sdoc3|banner_check_missing|69|CHAPLAIN|2023|BANNER NET PAYROLL|0.0
warning,banner_check_missing,119sdoc3,GPO-CDOC-119sdoc3-1.pdf,70,CHAPLAIN,2024,BANNER NET PAYROLL,0.0,status=banner_missing; banner=0.0; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,119sdoc3|banner_check_missing|70|CHAPLAIN|2024|BANNER NET PAYROLL|0.0
warning,banner_check_missing,119sdoc3,GPO-CDOC-119sdoc3-1.pdf,71,CHAPLAIN,2024,BANNER NET PAYROLL,18300.0,status=banner_missing; banner=18300.0; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,119sdoc3|banner_check_missing|71|CHAPLAIN|2024|BANNER NET PAYROLL|18300.0
warning,banner_check_discrepancy,119sdoc3,GPO-CDOC-119sdoc3-1.pdf,71,CHAPLAIN,2024,BANNER ORGANIZATION TOTALS,18300.0,status=warn; banner=18300.0; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,119sdoc3|banner_check_discrepancy|71|CHAPLAIN|2024|BANNER ORGANIZATION TOTALS|18300.0
warning,banner_check_discrepancy,119sdoc3,GPO-CDOC-119sdoc3-1.pdf,72,CHAPLAIN,2025,BANNER NET PAYROLL,279150.12,status=fail; banner=279150.12; parsed_body=322358.21. Banner checks are advisory; review against the source before treating this as a parser defect.,119sdoc3|banner_check_discrepancy|72|CHAPLAIN|2025|BANNER NET PAYROLL|279150.12
warning,banner_check_discrepancy,119sdoc3,GPO-CDOC-119sdoc3-1.pdf,72,CHAPLAIN,2025,BANNER ORGANIZATION TOTALS,279150.12,status=warn; banner=279150.12; parsed_body=322358.21. Banner checks are advisory; review against the source before treating this as a parser defect.,119sdoc3|banner_check_discrepancy|72|CHAPLAIN|2025|BANNER ORGANIZATION TOTALS|279150.12
warning,banner_check_missing,119sdoc3,GPO-CDOC-119sdoc3-1.pdf,73,CHAPLAIN,2025,BANNER NET PAYROLL,24908.09,status=banner_missing; banner=24908.09; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,119sdoc3|banner_check_missing|73|CHAPLAIN|2025|BANNER NET PAYROLL|24908.09
warning,banner_check_discrepancy,119sdoc3,GPO-CDOC-119sdoc3-1.pdf,73,CHAPLAIN,2025,BANNER ORGANIZATION TOTALS,24908.09,status=warn; banner=24908.09; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,119sdoc3|banner_check_discrepancy|73|CHAPLAIN|2025|BANNER ORGANIZATION TOTALS|24908.09
warning,banner_check_missing,119sdoc3,GPO-CDOC-119sdoc3-1.pdf,74,OFFICE OF THE VICE PRESIDENT (D) - HARRIS,2023,BANNER NET PAYROLL,0.0,status=banner_missing; banner=0.0; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,119sdoc3|banner_check_missing|74|OFFICE OF THE VICE PRESIDENT (D) - HARRIS|2023|BANNER NET PAYROLL|0.0
warning,banner_check_missing,119sdoc3,GPO-CDOC-119sdoc3-1.pdf,75,OFFICE OF THE VICE PRESIDENT (D) - HARRIS,2024,BANNER NET PAYROLL,14462.88,status=banner_missing; banner=14462.88; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,119sdoc3|banner_check_missing|75|OFFICE OF THE VICE PRESIDENT (D) - HARRIS|2024|BANNER NET PAYROLL|14462.88
warning,banner_check_discrepancy,119sdoc3,GPO-CDOC-119sdoc3-1.pdf,75,OFFICE OF THE VICE PRESIDENT (D) - HARRIS,2024,BANNER ORGANIZATION TOTALS,14462.88,status=warn; banner=14462.88; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,119sdoc3|banner_check_discrepancy|75|OFFICE OF THE VICE PRESIDENT (D) - HARRIS|2024|BANNER ORGANIZATION TOTALS|14462.88
